,index,place name,reviewer,score,useravg,comment
8229,45877,파스타포포,min,3.0,4.1,"제로페이 가맹점이라고 써있는데 안돼요
"
8230,45877,파스타포포,petasos,1.0,4.0,"티본은 시키지 마시길.
"
8231,45877,파스타포포,HS,5.0,4.3,"진짜 굿 음식너무 맛있어요!
"
8232,45877,파스타포포,민,1.0,4.3,"음식은 맛있는데 주방에서 요리하시는 분이 마스크 벗고 요리하시네요 한번 말씀 드렸는데 나올 때 보니까 또 벗고 계시네요 다른 때도 아니고 코로나시국에.. 또 방문할 일 없을 것 같아요 다른 분들도 참고하시길
"
8233,45877,파스타포포,정예나,5.0,5.0,"10번은 간거같아요. 최애 파스타집. 항상 맛있어요:)
"
8234,45877,파스타포포,.,1.0,1.0,"맛도 서비스도 정말 최악 실망스러웠습니다
왠만해선 귀찮아서 맛없으면 안가고 말지 후기안쓰는데 너무 맛없어서 후기 생전 처음써봅니다 서비스도 엉망이고 식사후 가는데 인사도 없고 무성의하고 무뚝뚝한  서비스에 파스타면은 너무 불었고 간장냄새와 간이 너무 쎄고 짜서 먹기가 불편했고 리조토마저 밥알이 퉁퉁 불어서 퍼진 죽처럼 맛이 너무 없었어요ㅠ 피자종류도 3개뿐. 주방에 무슨 변화가 생긴건지?
제가 낮 12시반 첫손님이었는데 말이죠 ㅠㅠ
테이블포포와 같은 셰프ㆍ주방이라는데 정말 실망스러워 이제 테이블포포마저도 방문 안하렵니다 
집근처인데 두식당 모두 두번다시 안가고싶습니다
3만원대 파스타ㆍ리조또가 이렇게 맛이 없는 경험도 흔치않은데 너무 실망스럽고 먹고나서 불쾌하더라구요 파스타면과 리조토의 밥알은 기본중의 기본아닌가요? 식사마치고 계산후 인사도 안하는 서비스마인드에 맛없음. 참고하세요~

"
8235,45877,파스타포포,tibo 티보,2.0,3.6,"good but too much sold out. 2 dishes canceled on 6 without inform us.
"
8236,45877,파스타포포,HS,5.0,4.3,"진짜 굿 음식너무 맛있어요!
"
8237,45877,파스타포포,민,1.0,4.3,"음식은 맛있는데 주방에서 요리하시는 분이 마스크 벗고 요리하시네요 한번 말씀 드렸는데 나올 때 보니까 또 벗고 계시네요 다른 때도 아니고 코로나시국에.. 또 방문할 일 없을 것 같아요 다른 분들도 참고하시길
"
8238,45877,파스타포포,정예나,5.0,5.0,"10번은 간거같아요. 최애 파스타집. 항상 맛있어요:)
"
8239,45877,파스타포포,.,1.0,1.0,"맛도 서비스도 정말 최악 실망스러웠습니다
왠만해선 귀찮아서 맛없으면 안가고 말지 후기안쓰는데 너무 맛없어서 후기 생전 처음써봅니다 서비스도 엉망이고 식사후 가는데 인사도 없고 무성의하고 무뚝뚝한  서비스에 파스타면은 너무 불었고 간장냄새와 간이 너무 쎄고 짜서 먹기가 불편했고 리조토마저 밥알이 퉁퉁 불어서 퍼진 죽처럼 맛이 너무 없었어요ㅠ 피자종류도 3개뿐. 주방에 무슨 변화가 생긴건지?
제가 낮 12시반 첫손님이었는데 말이죠 ㅠㅠ
테이블포포와 같은 셰프ㆍ주방이라는데 정말 실망스러워 이제 테이블포포마저도 방문 안하렵니다 
집근처인데 두식당 모두 두번다시 안가고싶습니다
3만원대 파스타ㆍ리조또가 이렇게 맛이 없는 경험도 흔치않은데 너무 실망스럽고 먹고나서 불쾌하더라구요 파스타면과 리조토의 밥알은 기본중의 기본아닌가요? 식사마치고 계산후 인사도 안하는 서비스마인드에 맛없음. 참고하세요~

"
8240,45877,파스타포포,tibo 티보,2.0,3.6,"good but too much sold out. 2 dishes canceled on 6 without inform us.
"
8241,45877,파스타포포,Kristin,5.0,4.4,
8242,45877,파스타포포,Dr. P,4.0,4.0,"좋아요
음식 알러지 있는 사람들은 미리 말하기!
"
8243,45877,파스타포포,Carpediem!,1.0,2.4,"유사 가격대의 타 레스토랑대비 맛과 서비스가 별로임
"
8244,45877,파스타포포,밥평식,3.0,2.4,
8245,45877,파스타포포,h,1.0,3.0,"왜여기가 유명한지 모르겠어요.. 
제입맛엔 별로였어요
토마토스튜만 괜찮았어요
"
8246,45877,파스타포포,김흥겸,5.0,3.7,"음식이 너무 맛있어요 ^^~  적극 추천 맛집^--^
"
8247,45878,503테이블,메론,5.0,4.0,"진짜 맛있던데요….
"
8248,45878,503테이블,jeff,1.0,2.5,"처음엔 맛있었는데 요새는 별로임 초심 잃으신듯
"
8249,45878,503테이블,SchutzEngel' archive,4.0,3.2,"스테이크가 정말 잘 구워져서 제일 맛있었고 파스타 새우도 괜찮았음
"
8250,45878,503테이블,이방인,2.0,3.6,"직원분들 친절하시고 분위기도 좋은데 진짜 음식 너무 맛없음... 이 가격에 어쩜 이런지... ㅋㅋㅋ 아무리 입맛은 주관적이래도 여긴 좀...  음식 맛만 보완하면 참 좋을 듯 합니다... 가지 그라탕은 치즈향? 이 요거트 맛처럼 이상하게 강하고 오일파스타는 진짜... 할말하않...
"
8251,45878,503테이블,MJay Ko 고 민정,3.0,3.3,"Italian
"
8252,45878,503테이블,josee,4.0,4.0,
8253,45878,503테이블,Kristin,4.0,4.4,
8254,45878,503테이블,Janett,3.0,3.9,"생일을 맞아서 런치로 예약하고 멀리서부터 일부러 찾아온건데.. 일단 음식은 맛있었던 것 같은데 정말 너무너무 시끄러워서 머리가 핑핑 돌 정도였어요. 밥이 입으로 들어가는건지 코로 들어가는건지.. 거의 일주일 전부터 미리 예약해둔건데 너무 시끄러운 공간 중 제일 시끄러운 자리로 배정받아서 식사하면서도 빨리 나가야되겠다는 생각밖에 없었어요. 그 시끄러운 걸 견뎌내면서만큼 먹을 맛은 아닌 것 같아서 다시 찾아가진 않을 것 같아요ㅠ 기대하고 간 건데 엄청 실망스러웠어요.

"
8255,45878,503테이블,밥평식,4.0,2.4,
8256,45879,잭슨피자 방배본점,강바로,5.0,5.0,"방이점인 줄 알고 주문을 잘못 시켰는데 피자도 다 나왔는데 너무 친절하게 취소해주셨습니다 너무 감사드려서 글남깁니다 ㅠㅜㅠㅜ 죄송합니다 다음에 꼭 방문 할게요
"
8257,45879,잭슨피자 방배본점,시바시바,5.0,4.6,
8258,45879,잭슨피자 방배본점,알토란,5.0,4.1,"맛있어요. 토핑도 좋고. 다만, 미국식이라 그런지 좀 많이 짜네요. 코스트코 피자 고급형 느낌이에요.
"
8259,45879,잭슨피자 방배본점,리얼리뷰,5.0,2.8,"피자 top3안에 듬.
"
8260,45879,잭슨피자 방배본점,SB,5.0,4.5,"맛있어요
"
8261,45879,잭슨피자 방배본점,냠냠 미식가,3.0,3.5,"너무 기대를 했나봐요.
"
8262,45879,잭슨피자 방배본점,김진아,5.0,5.0,"페퍼로니 피자 맛있습니다. 허브행도 좋고 조화로운 맛이에요!!
"
8263,45879,잭슨피자 방배본점,grace,4.0,4.6,"아메리칸 스피릿 L + 스파게티 시켰어요. 
피자 정말 맛있어요! 디핑소스도 ! 짜지 않고 크러스트까지 맛있음. 
스파게티는 그냥 평범한맛~ 
사이즈에 비해 가격이 조금 쌔서 별4개.
"
8264,45880,일상의즐거움,bfy52,4.0,3.8,"즐거움을 주는 스패니쉬 !! 만족 ~*
"
8265,45880,일상의즐거움,hulkson,5.0,4.5,"뇌가 짜릿한 먹부림
일상일 수가 없다
"
8266,45880,일상의즐거움,천지양,4.0,3.6,"어느정도 다양한 모습이 섞인 스페니쉬.  친절하고 private해서 추천할 만한 곳이다. 네이버 별점이 4.3~4.5같이 세밀하게 rate 을 줄수 없어 아쉽다
"
8267,45880,일상의즐거움,케이크,5.0,4.4,"친절하구 맛있음
"
