,index,place name,reviewer,score,useravg,comment
0,47000,더레드339,알리자린 레드S,5.0,3.2,"패티를 직접 만드신 것 같은데 어릴 때 어머니께서 해주신 그 햄버거 맛이 나서 좋았습니다. 육즙 터지며 기름기 흐르는 패티는 아니지만 짭짤하면서도 육향이 잘 느껴졌고 채소도 신선해서 제 입맛에는 잘 맞았어요~
무엇보다 친절하셔서 정말 기분 좋게 식사했습니다!
"
1,47000,더레드339,윤진아,5.0,5.0,"오며가며 보기만 하다가 수제버거 먹어봤는데 맛있어요~~ 정성가득 수제버거, 친절한 사장님이십니다 ㅎㅎ
"
2,47001,반올림피자샵 양재점,장유민,5.0,4.5,"다른지점보다 여기가마시쓰여
"
3,47001,반올림피자샵 양재점,lee,5.0,5.0,"맛있어요~
"
4,47001,반올림피자샵 양재점,Tex,5.0,4.1,
5,47001,반올림피자샵 양재점,안가람,5.0,5.0,"정말 맛있고 좋아요. 친절해서 특히 더 좋아요.
"
6,47001,반올림피자샵 양재점,Tony,5.0,5.0,"친절하고 픽업예정시간에 정확히 맞춰주셔서 전화주문하고 방문포장하기 딱 좋아요.
재구매 의사 200%입니다. 다른지점보다 치즈도 더 많이 늘어나고 토핑도 넉넉~
"
7,47002,레스토랑 꼬로,ㅌㅌ,5.0,4.0,"파스타 맛있어요!
"
8,47002,레스토랑 꼬로,.,5.0,5.0,"오일 파스타 맛집! 알리오올리오 계속 생각나네요 ㅠㅠ
회식으로 가서 스테이크류도 먹어봤는데 고기는 부드러우면서 소스가 맛있었어요.
"
9,47002,레스토랑 꼬로,Ming,5.0,5.0,"언주역 있을때부터 단골이에요! 사장님 쫓아서 왔는데 스테이크도 하시더라구요! 파스타, 피자는 여전히 맛있고 스테이크도 부드럽고 맛있어요 :)
"
10,47003,피자생각 양재점,Ujin,5.0,4.9,"기본 치즈피자 먹었는데 너무 맛있어요
기본 충실 입이 즐거움
"
11,47010,라비드쿤,끼,5.0,4.3,"전반적으로 맛이 좋았고 단호박 새우 짧은 파스타가 진짜 맛있었어요~!
이거 먹으러 또 오고 싶어요ㅎㅎ 분위기, 서비스, 맛 다 좋은데 전 지하철을 타고 가서 괜찮았지만 골목에 위치해 있어 주차는 불편할 것 같아요!
"
12,47010,라비드쿤,",",4.0,3.9,"단호박파스타 괜찮았어요
"
13,47010,라비드쿤,jamon,4.0,3.2,"2022.09.26 MROM  
LDW.YBG.BHJ
4인 모임적당
콜키지 2만원/병
"
14,47010,라비드쿤,혬니,1.0,1.0,"절대 자차이용하면 안됨, 보험료 인상 폭탄 맞을 수 있음
사고 대응하는 과정에서 정말 최악인 경험을 하였고, 이 곳 방문 정말 추천하지 않습니다.
9월 3일(토) 라비드쿤 갔다가 주차 중 접촉사고 발생. 상대방(직원 소유 차량) 차량 수리비 250만원 나옴
주행 중 접촉사고도 아닌 후진 주차중 부딪힌 사고로 그릴 브라켓 파손, 앞 범퍼 교환이라는 대형 사고(?) 발생
이런 사고가 일어난데는 주차선 경계면 바닥에 심한 굴곡이 있었고
(해당 부지를 주차장으로 사용하려면, 바닥을 고르게 했거나,
주차선을 경사면을 피해서 그렸어야 하는게 맞다) 
주차를 안내하거나, 도와주는 직원마저도 없었기때문이었다.
보험회사 사고 접수를 하고, 처리를 하는 과정에서 라비드 쿤에서 보여준 태도는 이해 불가의 연속이었다.
사고당시 확인을 위해 건물 외벽의 CC TV 동영상을 확인해 달라고 했더니, 영업중이라 바빠서 안된다고 했다가
보험회사 직원이 도착해서야 확인이 가능했다.
주차장 바닥의 경사면을 이야기했더니, 식당 전용 주차장이 아니라고 했다.
식당 주차장이 아니니 나몰라라인가? 분명 그 주차장에 나 말고도 그 식당을 찾은 다른 손님들과 직원의 차까지 함께 주차되어 있었는데
처음 전면주차를 하고 식당으로 들어갔더니, 후면주차로 다시 주차하라고 식당에서 요구해 그것도 더 붙이라고 해서 
결국 이렇게 사고까지 났는데, 이제와서 식당 주차장이 아니라니ㅎ
보험회사 직원과 사고 접수 및 처리를 하는 중에는 더욱 더 불쾌한 일이 벌어졌다. 식당의 다른 직원이 나와서 고객들은
자꾸 오고 바쁜데 도대체 얼마나 더 걸려야 끝나냐고 짜증을 내는 것이었다.
식사를 마치고 나올때까지, 고객이었던 나에게 내 차의 상태는 물론 불편하지는 않았는지 한마디 확인이나 걱정은 끝까지 들을 수 없었다.
부디 나와 같은 피해자가 또 없기를 바란다.

"
15,47010,라비드쿤,미각세포,5.0,3.7,"인테리어 너무 아기자기하고 와인한잔하면서 식사하기 좋은 프랑스가정식이예요!
특히 단호박 새우 오일 파스타 정말 맛있었고
꾸덕꾸덕한 소스에 뇨끼도 잘먹고 왔어요~

그리고 기본 반찬이 비워질 때마다 말하지 않아도
다시 채워주시고 추가로 주문을 할 때도 허리를 숙여서 들어주시고 없는 것도 한 번 알아봐드리겠다시며 친절하게 응대해주신 짧은 노란머리 여성직원분 너무 감사해요!

"
16,47010,라비드쿤,수,5.0,4.3,"재방문 의사 100이에요!
식사시간에 맞춰 가서 40분 웨이팅했는데도 식당앞 벤치에 앉을 수 있어서 괜찮았고, 식사가 행복한 기억으로 남았어요!
"
