,index,place name,reviewer,score,useravg,comment
0,49000,서울닭칼,자유,5.0,4.0,"맛있게 먹고 갑니다
"
1,49000,서울닭칼,레토르트딸기,5.0,3.7,"여기 저렴하고 짱맛이예요!
닭곰탕에 후추는 조금만 뿌려주셨으면..
알바생이 짱친절
"
2,49001,열혈닭갈비 방배점,ㅁㅁ,4.0,2.5,"맛있어요. 치즈가 서울우유 치즈라 그런지 굿임. 볶움밥도 맛있었음. 근데 기본 쌈류가 무쌈 밖에 없는건 아쉬웠음.
"
3,49001,열혈닭갈비 방배점,풀꽃,1.0,1.0,"닭갈비에 딸려 나오는 반찬도 없는 데다가 닭갈비가 너무 짜서 설사가 났습니다. 요즘은 간장게장도 그렇게 짜지는 않던데...ㅜㅠ
"
4,49001,열혈닭갈비 방배점,박병현의전성시대,5.0,2.8,"참 맛있음 치즈랑 잘 어울리고 그런데 머리카락 나옴. 한 번 나오고 두번 나왔음.
"
5,49001,열혈닭갈비 방배점,하슐랭,2.0,3.8,"닭갈비맛은 SoSo 
반찬 두가지(말라서 나옴), 상태안좋은 콩나물국
에어컨에 기름때들이 덕지덕지 붙어있는걸로 봐서는
주방환경이 알만하다.

대부분의 닭갈비집들은 닭갈비의 맛이 비슷하기때문에 반찬이나 서비스를 신경쓰는데 많이 부족해보인다.

"
6,49003,통큰두마리찜닭 방배점,[CHAN],1.0,3.7,
7,49003,통큰두마리찜닭 방배점,호랭이,1.0,4.1,"예전에는 안 그랬는데 원가절감인지 가격은 올랐는데 누린내가 나고 맛이 변했어요.. 예전에는 방배동은 여기에만 시켜먹었는데 이젠 빠이..
"
8,49006,7%칠백식당 방배직영점,Kevin Siyun Park,2.0,2.0,"고기맛 기복이 심해요. 맛있는 부위랑 맛없는 부위 섞어줍니다. 가성비 안좋음
"
9,49006,7%칠백식당 방배직영점,mjmj,5.0,4.3,"존맛..사장님들도 친절하심
"
10,49006,7%칠백식당 방배직영점,비두리,5.0,5.0,"칠프로칠백식당 방배점에서 한우육사시미와 한우모듬으로 지인과 맛있는 한우로 포식했다. 여기에다 식사 메뉴인 곤드레밥, 된장찌개 그리고 짱아찌국수로 가히 포만감 있는 저녁식사를 마무리했다. 사이드 메뉴인 곤드레밥과 짱아찌국수는 칠프로칠백식당 방배점에서만 맛볼 수 있는 특별한 메뉴다. 특히 내 입맛에는 곤드레밥이 잘 맞았다.
"
11,49006,7%칠백식당 방배직영점,.,5.0,4.4,"맛있음
"
12,49006,7%칠백식당 방배직영점,도비,5.0,4.0,"진짜 최고에요,, 입에서 녹아요 ㅠㅠㅠㅠㅠ 진짜 가격도 착하고 질도 좋고 입이 행복해요
고기는 말할것도 없고 사시미 진짜... 젤좋아진짜
그리고 짱아찌국수 꼭 먹어야되요!!

칠백식당에서 고기먹는날 행복한날이에요
점장님 친절하시구 굳굳굳!!!!!!!!!!   

고기집은 무조건 여기입니당

"
13,49006,7%칠백식당 방배직영점,JOONS,4.0,3.3,
14,49006,7%칠백식당 방배직영점,클놈,2.0,3.1,
15,49007,아구랜드 방배점,디디,3.0,1.7,"재료가 오래된 느낌이고 먹을때 딱이 맛없다그런건 아닌데 자극적인 맛 다시는 가고 싶지 않다
딱히 맛없지는 않아서 별3개
"
16,49007,아구랜드 방배점,Sean,4.0,2.9,"서울시내에서 오랫동안 한자리에서 한가지메뉴로 쭉 자리를 지키고 있는 이유가  있는 집....

오랜만에 가도 같은 맛 유지,!!
요즘은 이렇게 스태디 하게 유지하는 게 더 대단해 보임..

어중간한 복맑은탕(복지리가 입에 딱 붙긴..)보다 윗길..

한참 정신없이 먹다가 소주기운에 갑자기 이름 쳐다보면 웃김...

""아구랜드""

"
17,49007,아구랜드 방배점,Jason,5.0,4.7,"맛있습니다
"
18,49007,아구랜드 방배점,조규관,5.0,5.0,
19,49007,아구랜드 방배점,맛집저장소,5.0,3.4,"가족끼리 가기 좋은 곳
넉넉한 인심, 양에 놀라는 곳
아구만 찐으로 하는 곳
"
20,49007,아구랜드 방배점,조혜경,4.0,3.8,"오랜 시간 변함이 없는 편이예요.
집과 가까운 곳에 있어 자주 가게 되네요.
무난한 맛이 오히려 계속 가게 되는 것 같아요.
"
21,49007,아구랜드 방배점,이명중,4.0,3.5,
22,49007,아구랜드 방배점,신나는일,4.0,4.2,"다음엔 아구샤브샤브로...
"
23,49008,고향풍천장어,발걸음,1.0,1.6,"입구에 있는 수조부터 찝찝하더니 여기서 장어 먹고 다음날부터 계속 설사하네요.
"
24,49008,고향풍천장어,이종걸,5.0,4.8,"오랜만에 왔는데 여전히 맛있고, 친절하시네요. 맛있게 잘 먹었습니다. ^^
"
25,49008,고향풍천장어,나,5.0,4.3,"장어탕 완전 맛있어요!!!
"
26,49008,고향풍천장어,Jason,5.0,4.7,"맛있습니다
"
27,49008,고향풍천장어,고석호,3.0,3.0,"맛과 가격을 떠나 서빙하는 분의 무뚝뚝함에 식사 내내 불편했음. 같은 값이면 친절한 곳으로 갈 듯..
"
28,49008,고향풍천장어,쪼꼬미 아빠,2.0,3.4,"일반의 장어집에 맛과는 달라요
양은 작은걸로 두마리 주고, 소스(간장과 양념치킨)는 어울리지 않고
구어서 나와 편하긴 한데 불맛은 전혀 안나요
"
29,49008,고향풍천장어,산울림,5.0,3.7,"장어가 비리지 않고 맛있어요. 장어 싫어하는 친구와 애들도 덮밥도 잘 먹어요.
"
30,49008,고향풍천장어,뀨,5.0,3.3,"양념장어 맛있어요!
"
31,49008,고향풍천장어,에리콩,5.0,5.0,"말복에 장어집찾다가 들어갔는데 가격대비 
장어가실했다  특대가 더 장어가 컸던듯
모자른반찬  잘갖다주시고 서비스좋았음
맛나게잘먹었음
"
32,49008,고향풍천장어,윤발,4.0,3.1,"맛나요
"
33,49008,고향풍천장어,InChul Jung,5.0,4.4,"가성비 짱. 여름엔 좀 더움
"
34,49008,고향풍천장어,맛집탐방러,5.0,3.4,"여기 유명함
"
35,49008,고향풍천장어,Nathen,4.0,4.2,
36,49009,명인등심 방배점,노일권,4.0,4.8,
37,49009,명인등심 방배점,Rohi Restoration/윤경원,4.0,3.0,"가성비 좋은거 같아요. 고기도 맛있고요. 
찌게도 맛있었어요.
"
38,49009,명인등심 방배점,1,1.0,2.2,
39,49009,명인등심 방배점,ppp,5.0,4.7,"최고
"
40,49009,명인등심 방배점,이연규,1.0,1.0,"먹을게 하나도 없는 ~
"
41,49009,명인등심 방배점,Jason,5.0,4.7,"맛있습니다
"
42,49009,명인등심 방배점,박성춘,1.0,1.0,
43,49009,명인등심 방배점,오늘하루도♥,1.0,3.2,"주문. 점심특선) 등심국밥, 갈비탕

갈비탕. 제대로된 갈비대 하나 없는 관절만있는 갈비탕
             너무 먹기 힘들다
             관절이 많아 그런지 국물은 괜찮았다
등심국밥. 배추 겉잎을 넣어 만든 국밥
                등심조각은 한 5개 되려나...
                파 조금. 버섯 보일락말락. 콩나물? 몇가닥...
                국물엔 고기육수맛 있음
                그냥 배춧국 먹은 기분

"
44,49009,명인등심 방배점,맛있는거 죠아,4.0,3.6,"넘 맛있어요
한우 아니어도... 크
"
45,49009,명인등심 방배점,아이폰8PLUS,5.0,5.0,"입안에서 살살녹는 살치살 존맛탱이구여~
고기두께 진심 미쳤네요 ㅎ
"
46,49009,명인등심 방배점,Litespeed 동진,5.0,4.9,
47,49009,명인등심 방배점,임선규,5.0,2.6,"완전 맛있어요
"
48,49009,명인등심 방배점,삐투,1.0,3.5,
49,49009,명인등심 방배점,Roh,5.0,4.6,"Greaaaaaaaaat
"
50,49009,명인등심 방배점,김선오,5.0,5.0,"가족이 함께하기 너무 좋은 장소입니다. 사장님이 너무 찬절하세요. 강추입니다
"
51,49009,명인등심 방배점,Ppanggo,5.0,5.0,"완전 대박이에요!!!!
최고의 소고기 맛집!!
"
52,49009,명인등심 방배점,함께가는마르꼬,5.0,5.0,"옮기고서 밑반찬과 고기. 심지어 분위기까지... 햐~ 이런걸 계속 먹을 수 있게 해줘서 감사합니다.
"
53,49009,명인등심 방배점,CatHolic,5.0,5.0,"깜짝 놀랐어요...!

입 안에서 녹아서 사라지는 살치살
아무 것도 안찍고 먹어도 맛있는 등심


고기가 고픈날엔 어김 없이 생각나는
'명인등심'
더 자주 가고 싶어요^^
주차공간 많음

"
54,49009,명인등심 방배점,최원철,5.0,5.0,"서비스 좋고 맛도 좋고 가격도 저렴...
"
55,49010,서래족발 본점,ㅈㄹ,1.0,1.1,
56,49010,서래족발 본점,팩퍽,5.0,5.0,"인테리어도 이쁘고 맛있네요 친구가 매운거 좋아서 매운맛 먹어봤는데 완전 맛있어요 약간 중독되는 그런느낌 200%  확률로 재방문할꺼같아요
"
57,49010,서래족발 본점,유호빈,5.0,4.7,"직원분들도 매우 친절하시고 고기도 쫄깃쫄깃하고 부드럽고 완전 딱!!! 제스타일이네요 집도 가까워서 앞으로 자주올게용
"
58,49010,서래족발 본점,심영락,5.0,5.0,"음식 양도 많고, 쫄깃하고 엄청 많고, 쫄깃하고 맛있네요 같이 간 친구들도 다 맛있게 먹었어요!!  자리도 널널해서 회식 때 여기로오면 좋을듯해요
"
59,49010,서래족발 본점,이지양,5.0,5.0,"맛있어요 아주 고기 질도 좋고 반찬도 맛나고 괜찮아요 분위기도 좋고 깔끔해요 굿
"
60,49010,서래족발 본점,이수진,5.0,5.0,"일단 직원분들 친절 하시고  분위기도 좋고 가게가 깨끗해요 그리고 진짜 맛있어요!!!
"
61,49010,서래족발 본점,박수진,5.0,5.0,"맛있어요! 너무 잘먹었어요!!
족발이 잡내도 없고 맛있고 부드러워서 좋네용~
"
62,49010,서래족발 본점,유애인,5.0,5.0,"족발과 보쌈 반반으루 먹었는데 두개다 너무 맛있네요 반반 추천드려요!!
"
63,49010,서래족발 본점,심영락,5.0,5.0,"음식 양도 많고, 쫄깃하고 엄청 많고, 쫄깃하고 맛있네요 같이 간 친구들도 다 맛있게 먹었어요!!  자리도 널널해서 회식 때 여기로오면 좋을듯해요
"
64,49010,서래족발 본점,이지양,5.0,5.0,"맛있어요 아주 고기 질도 좋고 반찬도 맛나고 괜찮아요 분위기도 좋고 깔끔해요 굿
"
65,49010,서래족발 본점,이수진,5.0,5.0,"일단 직원분들 친절 하시고  분위기도 좋고 가게가 깨끗해요 그리고 진짜 맛있어요!!!
"
66,49010,서래족발 본점,박수진,5.0,5.0,"맛있어요! 너무 잘먹었어요!!
족발이 잡내도 없고 맛있고 부드러워서 좋네용~
"
67,49010,서래족발 본점,유애인,5.0,5.0,"족발과 보쌈 반반으루 먹었는데 두개다 너무 맛있네요 반반 추천드려요!!
"
68,49010,서래족발 본점,이태산,5.0,5.0,"너무 잘먹었어요 족발 잡내도없고 서비스로 주신 막
국수도 맵콤새콤 맛있어요
"
69,49010,서래족발 본점,가리이노,5.0,5.0,"이번에 처음으로 매운족발에 도전해봤는데 매장도 깔끔하고 직원분들이 넘~친절하셔서 더 맛있는 그런느낌이였어 매운족발은근 중독되는 맛이 있네요 !!
"
70,49010,서래족발 본점,유은수,5.0,3.5,"맛도 좋고 고기도 부드럽고 직원분들이 친절하게 응대도 잘해주네요 족발 특유의 잡내가 없어서 맛있게 잘먹고갑니다
"
71,49010,서래족발 본점,GY,5.0,4.2,"주말 오픈시간 12:30 이라고 들었는데 여긴 매일 11:30이라고 적혀있네요.. 주말에도 점심 특선 되어서 좋아요. 대신 3시부터 브레이크 타임 문제로 가게에 못 들어갑니다. 빠진 정보가 많아서 헛걸음 하는 경우가 종종 있긴 해도 깔끔하고 맛도 좋아요
"
72,49010,서래족발 본점,tidnqjrj,2.0,1.3,"진짜 불친절과 무관심의 끝판왕인 듯…
문 열고 입장했는데 아무도 관심을 안 주고, 아무데나 일단 앉으니 주문을 받긴 하는데 주문도 대충 받고 한참 후에 와서는 ‘족발 맞으시죠?’ 라고 물어서, ‘네? 보쌈 중짜 시켰는데요?’ 그랬더니 ‘아 중짜요?’ 이럼..
막걸리 시켰는데 계속 안 오길래 한참 있다가 다시 벨을 누르니, 와서는 ‘막걸리요?’ 그러더니 이후, 주문 들어간 거 맞느냐는 질문에 대꾸도 없이 쌩 지나가버림.
막걸리 잔에도 이물질이 묻어 있어서 저희 테이블은 싹 다 바꿔달라고 했네요.
그래도 음식이 맛있어서 별 두 개 드립니다.
알바생 모조리 새로 뽑아야 할 듯.

"
73,49010,서래족발 본점,라마,1.0,2.9,"광고 너무하네요..
"
74,49010,서래족발 본점,신나는식빵,4.0,3.2,"근처에서 약속잡고 우연찮게 들어간곳인데 족발 굉장히 야들야들하고 깔끔했습니다. 밑반찬도 여러가지로 나오는데 맛있고 좋았어요. 음식은 나무랄데가 없는데 .. 손님이 많이 없던 시간에 갔는데 알바생분들이 서로 친하신지 굉장히 왁자지껄 하긴 했어요. 주방에 스폰지밥이 있는 걸로 결론내렸습니다.
"
75,49010,서래족발 본점,댓알바1점재방문맛집5점,1.0,2.4,
76,49010,서래족발 본점,니나먹어,1.0,3.4,"고기에서 냄새 엄청나네요ㅋ 족발 세점 정도 먹고 바로나옴ㅋ
공짜로 줘도 안먹는다..
"
77,49010,서래족발 본점,에플,1.0,2.7,"밥먹는데 불편하게 주방에서 소리치고 별로임
"
78,49010,서래족발 본점,메론,5.0,4.0,"항상 맛있어요 
그리고 직원분들에게 예쁘게 말하면 
응대 잘 해주시는 것 같아요 :) 
덜 맵게 해주셔서 감사합니다 딱 좋았어용
"
79,49010,서래족발 본점,짱이맘,1.0,3.7,"직원분들은 뭐 가져다달라고 부탁해도 대답도 안하고 던지듯 주고 가시고 계산할때까지 불친절하시네요
"
80,49010,서래족발 본점,,1.0,1.3,"주작충
"
81,49010,서래족발 본점,우,4.0,3.3,"예전에 ㅂㅂㅈㅂ에서 통수맞고 그 후로 여기 정착했어요
맛도 깔끔해요 근데 리뷰 광고쓰시네 ㅋㅋ
밑사람들 다 똑같은델 다녀오셨네...
"
82,49010,서래족발 본점,정찬우,5.0,5.0,"우연히 근처 볼일이 있어서 갔다가 인테리어보고 첨에 족발집 아닌줄 알고 들어갔는데 사장님도 엄청친절하시고 손님이 많은데도 친절함을 유지하시는 모습보고 너무 기분이 좋았습니다 아주 잘먹고갑니다
"
83,49010,서래족발 본점,한소리,5.0,5.0,"인테리어도 예쁘고 족발도 부드럽고 맛있고 잡내 이런것도 안나고 맥주랑 같이먹으니까 찰떡이네요 집도 가까우니까 자주올게용
"
84,49010,서래족발 본점,아미연d,5.0,5.0,"매장도 넓고 밑반찬도 아주 제스타일이고 족발도 같이간 부모님이 너무 잘드시더라고요 고기가 부드러워서 어른들이 먹기에도 부담없이 잘드실수있는거 같아서 참 좋은거 같아용
"
85,49010,서래족발 본점,민형국,5.0,4.9,"역시 리뷰 평점 높은곳은 믿고갑니다 인테리어도 진짜 괜찮고 양도푸짐하고 아주 맛있네요 진짜 기분좋게 오랜만에 족발다운족발먹고갑니당
"
86,49010,서래족발 본점,김도현,5.0,3.7,
87,49010,서래족발 본점,이미장,5.0,4.9,"족발맛이 아주끝내줘요 맥주랑 같이먹으니까 환상의 조합이에요 마치 치맥같은느낌 또~족발특유의 잡내도 없어서 좋았어요
"
88,49010,서래족발 본점,조현아,5.0,4.9,"인테리어도 엄청 예쁘고 깔끔하고 저의 생각일수도있지만 족발집아닌줄알았어요 분위기 깡패에요 그리고 족발도 부드럽고 맛있어요
"
89,49010,서래족발 본점,아니이,5.0,5.0,"매장도 전체척으로 깔끔 하고 바쁜데도 직원불이 엄청 친절하시네요 거기에다가 족발 왜이리 맛있고 부드러워요 정말~맛있게 먹고갑니다
"
90,49010,서래족발 본점,강두이,5.0,5.0,"족발도 부드럽고 아주맛있네요 맥주와 정말 잘어울리는거 같아요 저도 모르게 족발이 너무 맛있어서 과음해버렸네요
"
